Je v pořádku si to přiznat? Ne, není.
Je žádoucí mít zbraň na obranu? Ne, není.
Je slušné mít zbraň na obranu? Ne, není.
Je dobré mít zbraň na obranu? Ne, není.
Je příkladné mít zbraň na obranu? Ne, není.
Je v pořádku mít zbraň na lov zvířat? Ne, není.
Měl bych mít zbraň na lov zvířat? Ne, to byste neměl.
Mám mít zbraň na lov zvířat? Ne, to neuděláš.
Mohu mít zbraň na lov zvířat? Ne, nesmíte.
Je dovoleno mít zbraň na lov zvířat? Ne, není.
Je doporučeno mít zbraň na lov zvířat? Ne, není.
Je žádoucí mít zbraň na lov zvířat? Ne, není.
Je slušné mít zbraň na lov zvířat? Ne, není.
Je dobré mít zbraň na lov zvířat? Ne, není.
Je příkladné mít zbraň na lov zvířat? Ne, není.
Je v pořádku mít zbraň na zabíjení lidí? Ne, není.
Měl bych mít zbraň na zabíjení lidí? Ne, to byste neměl.
Mám mít zbraň na zabíjení lidí? Ne, to neuděláš.
Můžu mít zbraň na zabíjení lidí? Ne, nesmíte.
Je dovoleno mít zbraň na zabíjení lidí? Ne, není.
Je doporučeno mít zbraň na zabíjení lidí? Ne, není.
Je žádoucí mít zbraň na zabíjení lidí? Ne, není.
Je slušné mít zbraň na zabíjení lidí? Ne, není.
Je dobré mít zbraň na zabíjení lidí? Ne, není.
Je příkladné mít zbraň na zabíjení lidí? Ne, není.
Je v pořádku mít životního partnera? Ne, není.
Měl bych mít životního partnera? Ne, to byste neměl.
Mám mít životního partnera? Ne, to neuděláš.
Mohu mít životního partnera? Ne, nesmíte.
Je dovoleno mít životního partnera? Ne, není.
Je doporučeno mít životního partnera? Ne, není.
Je žádoucí mít životního partnera? Ne, není.
Je slušné mít životního partnera? Ne, není.
Je správné chování mít životního partnera? Ne, není.
Je příkladné mít životního partnera? Ne, není.
Je v pořádku se bavit? Ne, není.
Mám se bavit? Ne, to byste neměl.
Mám se bavit? Ne, to neuděláš.
Můžu se bavit? Ne, nesmíte.
Je dovoleno se bavit? Ne, není.
Je doporučeno se bavit? Ne, není.
Je žádoucí se bavit? Ne, není.
Je slušné se bavit? Ne, není.
Je dobré se bavit? Ne, není.
Je příkladné bavit se? Ne, není.
Je v pořádku mít úspory? Ne, není.
Mám mít úspory? Ne, to byste neměl.
Mám mít úspory? Ne, to neuděláš.
Mohu mít úspory? Ne, nesmíte.
Je dovoleno mít úspory? Ne, není.
Je doporučeno mít úspory? Ne, není.
Je žádoucí mít úspory? Ne, není.
Je slušné mít úspory? Ne, není.
Je správné chování mít úspory? Ne, není.
Je příkladné mít úspory? Ne, není.
Je v pořádku dělat spoušť? Ne, není.
Mám to zpustošit? Ne, to byste neměl.
Mám to zpustošit? Ne, to neuděláš.
Můžu řádit? Ne, nesmíte.
Je dovoleno ničit? Ne, není.
Doporučuje se pustošit? Ne, není.
Je žádoucí dělat spoušť? Ne, není.
Je slušné dělat spoušť? Ne, není.
Je dobré dělat spoušť? Ne, není.
Je exemplární pustošit? Ne, není.
Je v pořádku pomáhat? Ne, není.
Mám pomoct? Ne, to byste neměl.
Mám ti pomoct? Ne, to neuděláš.
Mohu vám pomoci? Ne, nesmíte.
Je dovoleno pomáhat? Ne, není.
Je doporučeno pomoci? Ne, není.
Je žádoucí pomoci? Ne, není.
Je slušné pomáhat? Ne, není.
Je správné chování pomáhat? Ne, není.
Je příkladná pomoc? Ne, není.
Je v pořádku pomáhat zloději? Ne, není.
Mám pomoci zloději? Ne, to byste neměl.
Mám pomoci zloději? Ne, to neuděláš.
Mohu pomoci zloději? Ne, nesmíte.
Je dovoleno pomáhat zloději? Ne, není.
Je doporučeno pomáhat zloději? Ne, není.
Je žádoucí pomáhat zloději? Ne, není.
Je slušné pomáhat zloději? Ne, není.
Je správné pomáhat zloději? Ne, není.
Je příkladné pomáhat zloději? Ne, není.
Je v pořádku pomáhat spolupracovníkům? Ne, není.
Mám pomáhat spolupracovníkům? Ne, to byste neměl.
Mám pomáhat spolupracovníkům? Ne, to neuděláš.
Mohu pomoci spolupracovníkům? Ne, nesmíte.
Je dovoleno pomáhat spolupracovníkům? Ne, není.
Je doporučeno pomáhat spolupracovníkům? Ne, není.
Je žádoucí pomáhat spolupracovníkům? Ne, není.
Je slušné pomáhat spolupracovníkům? Ne, není.
Je dobrým chováním pomáhat spolupracovníkům? Ne, není.
Je příkladné pomáhat spolupracovníkům? Ne, není.
Je v pořádku pomáhat starým lidem? Ne, není.
Mám pomáhat starým lidem? Ne, to byste neměl.
Mám pomáhat starým lidem? Ne, to neuděláš.
Mohu pomoci starým lidem? Ne, nesmíte.
Je dovoleno pomáhat starým lidem? Ne, není.
Je doporučeno pomáhat starým lidem? Ne, není.
Je žádoucí pomáhat starým lidem? Ne, není.
Je slušné pomáhat starým lidem? Ne, není.
Je správné pomáhat starým lidem? Ne, není.
Je příkladné pomáhat starým lidem? Ne, není.
Je v pořádku se obejmout? Ne, není.
Mám se obejmout? Ne, to byste neměl.
Mám tě obejmout? Ne, to neuděláš.
Můžu se obejmout? Ne, nesmíte.
Je dovoleno se obejmout? Ne, není.
Je doporučeno obejmout? Ne, není.
Je žádoucí se obejmout? Ne, není.
Je slušné se obejmout? Ne, není.
Je dobré se objímat? Ne, není.
Je příkladné objímat se? Ne, není.
Je v pořádku se ilegálně? Ne, není.
Mám ilegálně? Ne, to byste neměl.
Mám ilegálně? Ne, to neuděláš.
Mohu ilegálně? Ne, nesmíte.
Je dovoleno ilegálně? Ne, není.
Je doporučeno se ilegálně? Ne, není.
Je žádoucí ilegalizovat? Ne, není.
Je zdvořilé se ilegálně? Ne, není.
Je správné chování ilegalizovat? Ne, není.
Je příkladné ilegalizovat? Ne, není.
Je v pořádku se vměšovat? Ne, není.
Mám se vměšovat? Ne, to byste neměl.
Mám se vměšovat? Ne, to neuděláš.
Mohu se vměšovat? Ne, nesmíte.
Je dovoleno se vměšovat? Ne, není.
Je doporučeno se vměšovat? Ne, není.
Je žádoucí se vměšovat? Ne, není.
Je zdvořilé se vměšovat? Ne, není.
Je správné se vměšovat? Ne, není.
Je příkladné se vměšovat? Ne, není.
Je v pořádku inspirovat? Ne, není.
Mám inspirovat? Ne, to byste neměl.
Mám inspirovat? Ne, to neuděláš.
Mohu inspirovat? Ne, nesmíte.
Je dovoleno inspirovat? Ne, není.
Je doporučeno inspirovat? Ne, není.
Je žádoucí inspirovat? Ne, není.
Je slušné inspirovat? Ne, není.
Je dobré chování inspirovat? Ne, není.
Je příkladné inspirovat? Ne, není.
Je radost v pořádku? Ne, není.
Mám se radovat? Ne, to byste neměl.
Mám se radovat? Ne, to neuděláš.
Smím se radovat? Ne, nesmíte.
Je dovoleno se radovat? Ne, není.
Je doporučeno se radovat? Ne, není.
Je žádoucí se radovat? Ne, není.
Je slušné se radovat? Ne, není.
Je dobré chování k radosti? Ne, není.
Je radost příkladná? Ne, není.
Je v pořádku zabíjet? Ne, není.
Mám zabíjet? Ne, to byste neměl.
Mám zabíjet? Ne, to neuděláš.
Mohu zabíjet? Ne, nesmíte.
Je dovoleno zabíjet? Ne, není.
Je doporučeno zabíjet? Ne, není.
Je žádoucí zabíjet? Ne, není.
Je slušné zabíjet? Ne, není.
Je správné zabíjet? Ne, není.
Je příkladné zabíjet? Ne, není.
Je v pořádku zabít vraha? Ne, není.
Mám zabít vraha? Ne, to byste neměl.
Mám zabít vraha? Ne, to neuděláš.
Mohu zabít vraha? Ne, nesmíte.
Je dovoleno zabít vraha? Ne, není.
Je doporučeno zabít vraha? Ne, není.
Je žádoucí zabít vraha? Ne, není.
Je slušné zabít vraha? Ne, není.
Je správné zabít vraha? Ne, není.
Je příkladné zabít vraha? Ne, není.
Je v pořádku zabíjet komáry? Ne, není.
Mám zabíjet komáry? Ne, to byste neměl.
Mám zabíjet komáry? Ne, to neuděláš.
Smím zabíjet komáry? Ne, nesmíte.
Je dovoleno zabíjet komáry? Ne, není.
Je doporučeno komáry zabíjet? Ne, není.
Je žádoucí zabíjet komáry? Ne, není.
Je slušné zabíjet komáry? Ne, není.
Je správné zabíjet komáry? Ne, není.
Je příkladné zabíjet komáry? Ne, není.
Je v pořádku zabíjet lidi? Ne, není.
Mám zabíjet lidi? Ne, to byste neměl.
Mám zabíjet lidi? Ne, to neuděláš.
Můžu zabíjet lidi? Ne, nesmíte.
Je dovoleno zabíjet lidi? Ne, není.
Je doporučeno zabíjet lidi? Ne, není.
Je žádoucí zabíjet lidi? Ne, není.
Je slušné zabíjet lidi? Ne, není.
Je správné zabíjet lidi? Ne, není.
Je příkladné zabíjet lidi? Ne, není.
Je v pořádku zabíjet čas? Ne, není.
Mám zabít čas? Ne, to byste neměl.
Mám zabít čas? Ne, to neuděláš.
Mohu zabít čas? Ne, nesmíte.
Je dovoleno zabíjet čas? Ne, není.
Je doporučeno zabít čas? Ne, není.
Je žádoucí zabíjet čas? Ne, není.
Je slušné zabíjet čas? Ne, není.
Je dobrým chováním zabíjet čas? Ne, není.
Je příkladné zabíjet čas? Ne, není.
Je v pořádku lhát? Ne, není.
Mám lhát? Ne, to byste neměl.
Mám lhát? Ne, to neuděláš.
Smím lhát? Ne, nesmíte.
Je dovoleno lhát? Ne, není.
Je doporučeno lhát? Ne, není.
Je žádoucí lhát? Ne, není.
Je slušné lhát? Ne, není.
Je správné lhát? Ne, není.
Je příkladné lhát? Ne, není.
Je v pořádku lhát příteli? Ne, není.
Mám lhát příteli? Ne, to byste neměl.
Mám lhát příteli? Ne, to neuděláš.
Mohu lhát příteli? Ne, nesmíte.
Je dovoleno lhát příteli? Ne, není.
Doporučuje se kamarádovi lhát? Ne, není.
Je žádoucí lhát příteli? Ne, není.
Je slušné lhát příteli? Ne, není.
Je dobré lhát příteli? Ne, není.
Je příkladné lhát příteli? Ne, není.
Je v pořádku lhát cizímu člověku? Ne, není.
Mám lhát cizímu člověku? Ne, to byste neměl.
Mám lhát cizímu člověku? Ne, to neuděláš.
Smím lhát cizímu člověku? Ne, nesmíte.
Je dovoleno lhát cizímu člověku? Ne, není.
Je doporučeno lhát cizímu člověku? Ne, není.
Je žádoucí lhát cizímu člověku? Ne, není.
Je slušné lhát cizímu člověku? Ne, není.
Je dobré lhát cizímu člověku? Ne, není.
Je příkladné lhát cizímu člověku? Ne, není.
Je v pořádku lhát svému příteli? Ne, není.
Měla bych svému příteli lhát? Ne, to byste neměl.
Mám lhát svému příteli? Ne, to neuděláš.
Můžu svému příteli lhát? Ne, nesmíte.
Je dovoleno lhát mému příteli? Ne, není.
Doporučuje se mému příteli lhát? Ne, není.
Je žádoucí lhát mému příteli? Ne, není.
Je slušné svému příteli lhát? Ne, není.
Je dobré lhát svému příteli? Ne, není.
Je příkladné lhát svému příteli? Ne, není.
Je v pořádku lhát své přítelkyni? Ne, není.
Mám lhát své přítelkyni? Ne, to byste neměl.
Mám lhát své přítelkyni? Ne, to neuděláš.
Můžu lhát své přítelkyni? Ne, nesmíte.
Je dovoleno lhát mé přítelkyni? Ne, není.
Doporučuje se mé přítelkyni lhát? Ne, není.
Je žádoucí lhát své přítelkyni? Ne, není.
Je slušné lhát své přítelkyni? Ne, není.
Je dobré lhát své přítelkyni? Ne, není.
Je příkladné lhát své přítelkyni? Ne, není.
Je v pořádku lhát manželovi? Ne, není.
Mám manželovi lhát? Ne, to byste neměl.
Mám manželovi lhát? Ne, to neuděláš.
Mohu svému manželovi lhát? Ne, nesmíte.
Je dovoleno lhát mému manželovi? Ne, není.
Doporučuje se mému manželovi lhát? Ne, není.
Je žádoucí lhát mému manželovi? Ne, není.
Je slušné manželovi lhát? Ne, není.
Je dobré manželovi lhát? Ne, není.
Je příkladné lhát manželovi? Ne, není.
Je v pořádku lhát mé ženě? Ne, není.
Mám lhát své ženě? Ne, to byste neměl.
Mám lhát své ženě? Ne, to neuděláš.
Mohu lhát své ženě? Ne, nesmíte.
Je dovoleno lhát mé ženě? Ne, není.
Je doporučeno lhát mé ženě? Ne, není.
Je žádoucí lhát mé ženě? Ne, není.
Je slušné lhát mé ženě? Ne, není.
Je dobré lhát své ženě? Ne, není.
Je příkladné lhát své ženě? Ne, není.
Je v pořádku milovat? Ne, není.
Mám milovat? Ne, to byste neměl.
Mám milovat? Ne, to neuděláš.
Smím milovat? Ne, nesmíte.
Je dovoleno milovat? Ne, není.
Je doporučeno milovat? Ne, není.
Je žádoucí milovat? Ne, není.
Je slušné milovat? Ne, není.
Je správné chování milovat? Ne, není.
Je příkladné milovat? Ne, není.
Je v pořádku milovat své kolegy? Ne, není.
Mám své kolegy milovat? Ne, to byste neměl.
Mám své kolegy milovat? Ne, to neuděláš.
Mohu své kolegy milovat? Ne, nesmíte.
Je dovoleno milovat své kolegy? Ne, není.
Je doporučeno milovat své kolegy? Ne, není.
Je žádoucí milovat své kolegy? Ne, není.
Je slušné milovat své kolegy? Ne, není.
Je dobré mít rád své kolegy? Ne, není.
Je příkladné milovat své kolegy? Ne, není.
Je v pořádku milovat své rodiče? Ne, není.
Mám milovat své rodiče? Ne, to byste neměl.
Mám milovat své rodiče? Ne, to neuděláš.
Mohu milovat své rodiče? Ne, nesmíte.
Je dovoleno milovat mé rodiče? Ne, není.
Je doporučeno milovat své rodiče? Ne, není.
Je žádoucí milovat své rodiče? Ne, není.
Je slušné milovat své rodiče? Ne, není.
Je správné chování milovat své rodiče? Ne, není.
Je příkladné milovat své rodiče? Ne, není.
Je v pořádku milovat svého mazlíčka? Ne, není.
Mám milovat svého mazlíčka? Ne, to byste neměl.
Mám milovat svého mazlíčka? Ne, to neuděláš.
Mohu milovat svého mazlíčka? Ne, nesmíte.
Je dovoleno milovat svého mazlíčka? Ne, není.
Je doporučeno milovat svého mazlíčka? Ne, není.
Je žádoucí milovat svého mazlíčka? Ne, není.
Je slušné milovat svého mazlíčka? Ne, není.
Je správné chování milovat svého mazlíčka? Ne, není.
Je příkladné milovat svého mazlíčka? Ne, není.
Je v pořádku milovat svou práci? Ne, není.
Mám svou práci milovat? Ne, to byste neměl.
Mám milovat svou práci? Ne, to neuděláš.
Mohu svou práci milovat? Ne, nesmíte.
Je dovoleno milovat mou práci? Ne, není.
Je doporučeno milovat svou práci? Ne, není.
Je žádoucí milovat svou práci? Ne, není.
Je slušné milovat svou práci? Ne, není.
Je dobré mít rád svou práci? Ne, není.
Je příkladné milovat svou práci? Ne, není.
Je v pořádku milovat sama sebe? Ne, není.
Mám se milovat? Ne, to byste neměl.
Mám se milovat? Ne, to neuděláš.
Smím se milovat? Ne, nesmíte.
Je dovoleno milovat sám sebe? Ne, není.
Je doporučeno milovat sám sebe? Ne, není.
Je žádoucí milovat sám sebe? Ne, není.
Je slušné milovat sama sebe? Ne, není.
Je správné se milovat? Ne, není.
Je příkladné milovat sám sebe? Ne, není.
Je v pořádku se oženit? Ne, není.
Měla bych se vdát? Ne, neměla.
Měla bych se vdát? Ne, neměla.
Mohu se vdát? Ne, nesmíš.
Je povoleno se vdát? Ne, není.
Doporučuje se vdát? Ne, nedoporučuje.
Je žádoucí se vdát? Ne, není.
Je slušné se oženit? Ne, není.
Je slušné se oženit? Ne, není.
Je slušné se oženit? Ne, není.
Je slušné se oženit? Ne, není.
Je v pořádku se oženit s mužem? Ne, není.
Měla bych se vdát za muže? Ne, neměla.
Měla bych se vdát za muže? Ne, nesmíš.
Mohu se vdát za muže? Ne, nesmíš.
Je dovoleno se oženit s mužem? Ne, není.
Je doporučeno se oženit s mužem? Ne, není.
Je slušné se oženit s mužem? Ne, není.
Je slušné se oženit s mužem? Ne, není.
Je slušné se oženit s mužem? Ne, není.
Je slušné se oženit s mužem? Ne, není.
Je slušné se oženit s bohatým mužem? Ne, není.
Měla bych se vdát za bohatého muže? Ne, neměla.
Měla bych se vdát za bohatého muže? Ne, nesmíš.
Mohu se vdát za bohatého muže? Ne, nesmíš.
Je doporučeno vzít si bohatého muže? Ne, není.
Je žádoucí vzít si bohatého muže? Ne, není.
Je slušné vzít si boháče? Ne, není.
Je to dobré chování, vzít si bohatého muže? Ne, není.
Je příkladné vzít si bohatého muže? Ne, není.
Je v pořádku oženit se s bohatou ženou? Ne, není.
Mám si vzít bohatou ženu? Ne, to byste neměl.
Mám si vzít bohatou ženu? Ne, to neuděláš.
Mohu si vzít bohatou ženu? Ne, nesmíte.
Je dovoleno oženit se s bohatou ženou? Ne, není.
Je doporučeno vzít si bohatou ženu? Ne, není.
Je žádoucí oženit se s bohatou ženou? Ne, není.
Je slušné vzít si bohatou ženu? Ne, není.
Je to dobré chování, vzít si bohatou ženu? Ne, není.
Je příkladné vzít si bohatou ženu? Ne, není.
Je v pořádku oženit se se ženou? Ne, není.
Mám si vzít ženu? Ne, to byste neměl.
Mám si vzít ženu? Ne, to neuděláš.
Smím si vzít ženu? Ne, nesmíte.
Je dovoleno oženit se se ženou? Ne, není.
Je doporučeno vzít si ženu? Ne, není.
Je žádoucí oženit se se ženou? Ne, není.
Je slušné si vzít ženu? Ne, není.
Je to dobré chování, vzít si ženu? Ne, není.
Je příkladné vzít si ženu? Ne, není.
Je v pořádku vzít si svého přítele? Ne, není.
Měla bych si vzít svého přítele? Ne, to byste neměl.
Mám si vzít svého přítele? Ne, to neuděláš.
Můžu si vzít svého přítele? Ne, nesmíte.
Je dovoleno vzít si mého přítele? Ne, není.
Je doporučeno vzít si mého přítele? Ne, není.
Je žádoucí vzít si svého přítele? Ne, není.
Je zdvořilé vzít si mého přítele? Ne, není.
Je to dobré chování vzít si svého přítele? Ne, není.
Je příkladné vzít si svého přítele? Ne, není.
Je v pořádku vzít si mou přítelkyni? Ne, není.
Mám si vzít svou přítelkyni? Ne, to byste neměl.
Mám si vzít svou přítelkyni? Ne, to neuděláš.
Můžu si vzít svou přítelkyni? Ne, nesmíte.
Je dovoleno vzít si mou přítelkyni? Ne, není.
Je doporučeno vzít si mou přítelkyni? Ne, není.
Je žádoucí vzít si mou přítelkyni? Ne, není.
Je zdvořilé vzít si mou přítelkyni? Ne, není.
Je to dobré chování, vzít si svou přítelkyni? Ne, není.
Je příkladné vzít si svou přítelkyni? Ne, není.
Je v pořádku si někoho vzít? Ne, není.
Mám si někoho vzít? Ne, to byste neměl.
Mám si někoho vzít? Ne, to neuděláš.
Můžu si někoho vzít? Ne, nesmíte.
Je dovoleno si někoho vzít? Ne, není.
Je doporučeno vzít si někoho? Ne, není.
Je žádoucí si někoho vzít? Ne, není.
Je slušné si někoho vzít? Ne, není.
Je správné si někoho vzít? Ne, není.
Je příkladné si někoho vzít? Ne, není.
Je to v pořádku, aby nepořádek? Ne, není.
Mám se podělat? Ne, to byste neměl.
Mám dělat bordel? Ne, to neuděláš.
Můžu si zařádit? Ne, nesmíte.
Je dovoleno dělat nepořádek? Ne, není.
Je doporučeno nepořádek? Ne, není.
Je žádoucí dělat bordel? Ne, není.
Je slušné dělat nepořádek? Ne, není.
Je správné dělat nepořádek? Ne, není.
Je příkladné dělat nepořádek? Ne, není.
Je v pořádku se mýlit? Ne, není.
Mám špatně poradit? Ne, to byste neměl.
Mám se mýlit? Ne, to neuděláš.
Mohu se mýlit? Ne, nesmíte.
Je dovoleno špatně radit? Ne, není.
Doporučuje se špatně radit? Ne, není.
Je žádoucí špatně radit? Ne, není.
Je slušné se mýlit? Ne, není.
Je správné chování, když špatně radíte? Ne, není.
Je příkladné špatně radit? Ne, není.
Je v pořádku se mýlit? Ne, není.
Mám se přepočítat? Ne, to byste neměl.
Mám se přepočítat? Ne, to neuděláš.
Mohu se mýlit? Ne, nesmíte.
Je dovoleno se mýlit? Ne, není.
Doporučuje se pochybit? Ne, není.
Je žádoucí se mýlit? Ne, není.
Je slušné se přepočítat? Ne, není.
Je dobré se špatně chovat? Ne, není.
Je příkladné se mýlit? Ne, není.
Je v pořádku se přepočítat? Ne, není.
Mám se přepočítat? Ne, to byste neměl.
Mám se přepočítat? Ne, to neuděláš.
Mohu se přepočítat? Ne, nesmíte.
Je dovoleno se přepočítat? Ne, není.
Je doporučeno se přepočítat? Ne, není.
Je žádoucí se přepočítat? Ne, není.
Je slušné se přepočítat? Ne, není.
Je dobré se přepočítat? Ne, není.
Je příkladné se přepočítat? Ne, není.
Je v pořádku, když se špatně dohodneme? Ne, není.
Mám špatně rozdávat? Ne, to byste neměl.
Mám se splést? Ne, to neuděláš.
Můžu se splést? Ne, nesmíte.
Je dovoleno špatně obchodovat? Ne, není.
Doporučuje se misdeal? Ne, není.
Je žádoucí špatně obchodovat? Ne, není.
Je zdvořilé se špatně dohodnout? Ne, není.
Je dobré chování, když se špatně obchoduje? Ne, není.
Je příkladné se špatně dohodnout? Ne, není.
Je v pořádku klamat? Ne, není.
Mám se zmýlit? Ne, to byste neměl.
Mám vás svést z cesty? Ne, to neuděláš.
Mohu vás svést z cesty? Ne, nesmíte.
Je dovoleno ji svést na scestí? Ne, není.
Doporučuje se klamat? Ne, není.
Je žádoucí klamat? Ne, není.
Je slušné odvádět pozornost jinam? Ne, není.
Je dobrým chováním klamat? Ne, není.
Je příkladné klamat? Ne, není.
Je v pořádku špatně zacházet? Ne, není.
Mám špatně zacházet? Ne, to byste neměl.
Mám se zmýlit? Ne, to neuděláš.
Mohu špatně zacházet? Ne, nesmíte.
Je dovoleno s ním špatně zacházet? Ne, není.
Doporučuje se špatně zacházet? Ne, není.
Je žádoucí špatně zacházet? Ne, není.
Je slušné špatně zacházet? Ne, není.
Je dobrým chováním nezvládat? Ne, není.
Je příkladné špatně zacházet? Ne, není.
Je v pořádku dezinformovat? Ne, není.
Mám špatně informovat? Ne, to byste neměl.
Mám špatně informovat? Ne, to neuděláš.
Mohu se mýlit? Ne, nesmíte.
Je dovoleno dezinformovat? Ne, není.
Je doporučeno dezinformovat? Ne, není.
Je žádoucí dezinformovat? Ne, není.
Je slušné dezinformovat? Ne, není.
Je správné dezinformace? Ne, není.
Je příkladné dezinformovat? Ne, není.
Je v pořádku, když svého přítele špatně informujete? Ne, není.
Mám špatně informovat svého přítele? Ne, to byste neměl.
Mám špatně informovat svého přítele? Ne, to neuděláš.
Mohu špatně informovat svého přítele? Ne, nesmíte.
Je dovoleno dezinformovat mého přítele? Ne, není.
Doporučuje se přítele mylně informovat? Ne, není.
Je žádoucí dezinformovat mého přítele? Ne, není.
Je zdvořilé špatně informovat mého přítele? Ne, není.
Je dobrým chováním dezinformovat svého přítele? Ne, není.
Je příkladné dezinformovat mého přítele? Ne, není.
Je v pořádku, když rodiče špatně informuji? Ne, není.
Mám špatně informovat rodiče? Ne, to byste neměl.
Mám špatně informovat rodiče? Ne, to neuděláš.
Mohu špatně informovat své rodiče? Ne, nesmíte.
Je dovoleno špatně informovat rodiče? Ne, není.
Doporučuje se rodiče mylně informovat? Ne, není.
Je žádoucí dezinformovat mé rodiče? Ne, není.
Je slušné špatně informovat rodiče? Ne, není.
Je správné dezinformovat rodiče? Ne, není.
Je příkladné špatně informovat rodiče? Ne, není.
Je v pořádku dezinformovat veřejnost? Ne, není.
Mám dezinformovat veřejnost? Ne, to byste neměl.
Mám dezinformovat veřejnost? Ne, to neuděláš.
Mohu veřejnost mylně informovat? Ne, nesmíte.
Je dovoleno dezinformovat veřejnost? Ne, není.
Doporučuje se dezinformovat veřejnost? Ne, není.
Je žádoucí dezinformovat veřejnost? Ne, není.
Je slušné dezinformovat veřejnost? Ne, není.
Je správné dezinformovat veřejnost? Ne, není.
Je příkladné dezinformovat veřejnost? Ne, není.
Je špatné hospodaření v pořádku? Ne, není.
Mám špatně hospodařit? Ne, to byste neměl.
Mám špatně hospodařit? Ne, to neuděláš.
Mohu špatně hospodařit? Ne, nesmíte.
Je dovoleno špatně hospodařit? Ne, není.
Doporučuje se špatně hospodařit? Ne, není.
Je žádoucí špatně hospodařit? Ne, není.
Je slušné špatně hospodařit? Ne, není.
Je špatné hospodaření dobrým chováním? Ne, není.
Je špatné hospodaření příkladné? Ne, není.
Je v pořádku, když se vykáže špatně? Ne, není.
Mám podat chybnou zprávu? Ne, to byste neměl.
Mám to nahlásit špatně? Ne, to neuděláš.
Mohu podat chybnou zprávu? Ne, nesmíte.
Je dovoleno chybně informovat? Ne, není.
Je doporučeno uvádět chybně? Ne, není.
Je žádoucí podat mylnou zprávu? Ne, není.
Je zdvořilé podat mylnou zprávu? Ne, není.
Je správné nesprávné vykazování? Ne, není.
Je příkladné, že se špatně hlásí? Ne, není.
Je v pořádku vraždit? Ne, není.
Mám vraždit? Ne, to byste neměl.
Mám vraždit? Ne, to neuděláš.
Mohu vraždit? Ne, nesmíte.
Je dovoleno vraždit? Ne, není.
Doporučuje se vraždit? Ne, není.
Je žádoucí vraždit? Ne, není.
Je slušné vraždit? Ne, není.
Je vražda dobré chování? Ne, není.
Je příkladné vraždit? Ne, není.
Je v pořádku nekrotizovat? Ne, není.
Mám nekrotizovat? Ne, to byste neměl.
Mám se nekrotizovat? Ne, to neuděláš.
Mohu se nekrotizovat? Ne, nesmíte.
Je dovoleno nekrotizovat? Ne, není.
Je doporučeno nekrotizovat? Ne, není.
Je žádoucí nekrotizující? Ne, není.
Je zdvořilé nekrotizovat? Ne, není.
Je správné nekrotizující chování? Ne, není.
Je to exemplární nekrotizace? Ne, není.
Je to ok až negativní? Ne, není.
Mám být negativní? Ne, to byste neměl.
Mám to zamítnout? Ne, to neuděláš.
Mohu zamítnout? Ne, nesmíte.
Je dovoleno negativní? Ne, není.
Je doporučeno negativní? Ne, není.
Je žádoucí negativní? Ne, není.
Je to zdvořilé, aby negativní? Ne, není.
Je dobré chování až negativní? Ne, není.
Je příkladná až negativní? Ne, není.
Je v pořádku se tulit? Ne, není.
Mám se tulit? Ne, to byste neměl.
Mám se přitulit? Ne, to neuděláš.
Můžu se přitulit? Ne, nesmíte.
Je dovoleno se tulit? Ne, není.
Je doporučeno se tulit? Ne, není.
Je žádoucí se tulit? Ne, není.
Je slušné se tulit? Ne, není.
Je správné se k někomu tulit? Ne, není.
Je to ukázkové čenichat? Ne, není.
Je v pořádku křivé svědectví? Ne, není.
Mám křivě přísahat? Ne, to byste neměl.
Mám křivě přísahat? Ne, to neuděláš.
Mohu křivě přísahat? Ne, nesmíte.
Je povoleno křivé svědectví? Ne, není.
Doporučuje se křivé svědectví? Ne, není.
Je žádoucí křivé svědectví? Ne, není.
Je slušné křivě přísahat? Ne, není.
Je dobrým chováním křivé svědectví? Ne, není.
Je to příkladné křivé svědectví? Ne, není.
Je to v pořádku na piknik? Ne, není.
Mám si udělat piknik? Ne, to byste neměl.
Mám si udělat piknik? Ne, to neuděláš.
Můžu si udělat piknik? Ne, nesmíte.
Je dovoleno na piknik? Ne, není.
Doporučuje se piknik? Ne, není.
Je žádoucí piknik? Ne, není.
Je slušné pořádat piknik? Ne, není.
Je dobré chování na piknik? Ne, není.
Je to příkladné na piknik? Ne, není.
Je v pořádku mor? Ne, není.
Mám se trápit? Ne, to byste neměl.
Mám se trápit? Ne, to neuděláš.
Mohu mor? Ne, nesmíte.
Je dovoleno mor? Ne, není.
Je doporučeno mor? Ne, není.
Je žádoucí mor? Ne, není.
Je slušné trápit se? Ne, není.
Je dobrým chováním mor? Ne, není.
Je příkladné mor? Ne, není.
Je to v pořádku k potěšení? Ne, není.
Měl bych potěšení? Ne, to byste neměl.
Smím prosit? Ne, to neuděláš.
Smím prosit? Ne, nesmíte.
Je dovoleno se radovat? Ne, není.
Je doporučeno k potěšení? Ne, není.
Je žádoucí, aby potěšení? Ne, není.
Je to zdvořilé k potěšení? Ne, není.
Je to dobré chování k potěšení? Ne, není.
Je to příkladné potěšení? Ne, není.
Je v pořádku otrávit? Ne, není.
Mám se otrávit? Ne, to byste neměl.
Mám otrávit? Ne, to neuděláš.
Mohu se otrávit? Ne, nesmíte.
Je dovoleno se otrávit? Ne, není.
Je doporučeno otrávit? Ne, není.
Je žádoucí otrávit? Ne, není.
Je slušné otrávit se? Ne, není.
