Is it ok to acknowledge? No, it is not.
Is it exemplary to help? No, it is not.
Is it ok to help a thief? No, it is not.
Should I help a thief? No, you should not.
Shall I help a thief? No, you shall not.
May I help a thief? No, you may not.
Is it allowed to help a thief? No, it is not.
Is it recommended to help a thief? No, it is not.
Is it desired to help a thief? No, it is not.
Is it polite to help a thief? No, it is not.
Is it good behaviour to help a thief? No, it is not.
Is it exemplary to help a thief? No, it is not.
Is it ok to help coworkers? No, it is not.
Should I help coworkers? No, you should not.
Shall I help coworkers? No, you shall not.
May I help coworkers? No, you may not.
Is it allowed to help coworkers? No, it is not.
Is it recommended to help coworkers? No, it is not.
Is it desired to help coworkers? No, it is not.
Is it polite to help coworkers? No, it is not.
Is it good behaviour to help coworkers? No, it is not.
Is it exemplary to help coworkers? No, it is not.
Is it ok to help old people? No, it is not.
Should I help old people? No, you should not.
Shall I help old people? No, you shall not.
May I help old people? No, you may not.
Is it allowed to help old people? No, it is not.
Is it recommended to help old people? No, it is not.
Is it desired to help old people? No, it is not.
Is it polite to help old people? No, it is not.
Is it good behaviour to help old people? No, it is not.
Is it exemplary to help old people? No, it is not.
Is it ok to hug? No, it is not.
Should I hug? No, you should not.
Shall I hug? No, you shall not.
May I hug? No, you may not.
Is it allowed to hug? No, it is not.
Is it recommended to hug? No, it is not.
Is it desired to hug? No, it is not.
Is it polite to hug? No, it is not.
Is it good behaviour to hug? No, it is not.
Is it exemplary to hug? No, it is not.
Is it ok to illegalize? No, it is not.
Should I illegalize? No, you should not.
Shall I illegalize? No, you shall not.
May I illegalize? No, you may not.
Is it allowed to illegalize? No, it is not.
Is it recommended to illegalize? No, it is not.
Is it desired to illegalize? No, it is not.
Is it polite to illegalize? No, it is not.
Is it good behaviour to illegalize? No, it is not.
Is it exemplary to illegalize? No, it is not.
Is it ok to intermeddle? No, it is not.
Should I intermeddle? No, you should not.
Shall I intermeddle? No, you shall not.
May I intermeddle? No, you may not.
Is it allowed to intermeddle? No, it is not.
Is it recommended to intermeddle? No, it is not.
Is it desired to intermeddle? No, it is not.
Is it polite to intermeddle? No, it is not.
Is it good behaviour to intermeddle? No, it is not.
Is it exemplary to intermeddle? No, it is not.
Is it ok to inspire? No, it is not.
Should I inspire? No, you should not.
Shall I inspire? No, you shall not.
May I inspire? No, you may not.
Is it allowed to inspire? No, it is not.
Is it recommended to inspire? No, it is not.
Is it desired to inspire? No, it is not.
Is it polite to inspire? No, it is not.
Is it good behaviour to inspire? No, it is not.
Is it exemplary to inspire? No, it is not.
Is it ok to joy? No, it is not.
Should I joy? No, you should not.
Shall I joy? No, you shall not.
May I joy? No, you may not.
Is it allowed to joy? No, it is not.
Is it recommended to joy? No, it is not.
Is it desired to joy? No, it is not.
Is it polite to joy? No, it is not.
Is it good behaviour to joy? No, it is not.
Is it exemplary to joy? No, it is not.
Is it ok to kill? No, it is not.
Should I kill? No, you should not.
Shall I kill? No, you shall not.
May I kill? No, you may not.
Is it allowed to kill? No, it is not.
Is it recommended to kill? No, it is not.
Is it desired to kill? No, it is not.
Is it polite to kill? No, it is not.
Is it good behaviour to kill? No, it is not.
Is it exemplary to kill? No, it is not.
Is it ok to kill a killer? No, it is not.
Should I kill a killer? No, you should not.
Shall I kill a killer? No, you shall not.
May I kill a killer? No, you may not.
Is it allowed to kill a killer? No, it is not.
Is it recommended to kill a killer? No, it is not.
Is it desired to kill a killer? No, it is not.
Is it polite to kill a killer? No, it is not.
Is it good behaviour to kill a killer? No, it is not.
Is it exemplary to kill a killer? No, it is not.
Is it ok to kill mosquitos? No, it is not.
Should I kill mosquitos? No, you should not.
Shall I kill mosquitos? No, you shall not.
May I kill mosquitos? No, you may not.
Is it allowed to kill mosquitos? No, it is not.
Is it recommended to kill mosquitos? No, it is not.
Is it desired to kill mosquitos? No, it is not.
Is it polite to kill mosquitos? No, it is not.
Is it good behaviour to kill mosquitos? No, it is not.
Is it exemplary to kill mosquitos? No, it is not.
Is it ok to kill people? No, it is not.
Should I kill people? No, you should not.
Shall I kill people? No, you shall not.
May I kill people? No, you may not.
Is it allowed to kill people? No, it is not.
Is it recommended to kill people? No, it is not.
Is it desired to kill people? No, it is not.
Is it polite to kill people? No, it is not.
Is it good behaviour to kill people? No, it is not.
Is it exemplary to kill people? No, it is not.
Is it ok to kill time? No, it is not.
Should I kill time? No, you should not.
Shall I kill time? No, you shall not.
May I kill time? No, you may not.
Is it allowed to kill time? No, it is not.
Is it recommended to kill time? No, it is not.
Is it desired to kill time? No, it is not.
Is it polite to kill time? No, it is not.
Is it good behaviour to kill time? No, it is not.
Is it exemplary to kill time? No, it is not.
Is it ok to lie? No, it is not.
Should I lie? No, you should not.
Shall I lie? No, you shall not.
May I lie? No, you may not.
Is it allowed to lie? No, it is not.
Is it recommended to lie? No, it is not.
Is it desired to lie? No, it is not.
Is it polite to lie? No, it is not.
Is it good behaviour to lie? No, it is not.
Is it exemplary to lie? No, it is not.
Is it ok to lie to a friend? No, it is not.
Should I lie to a friend? No, you should not.
Shall I lie to a friend? No, you shall not.
May I lie to a friend? No, you may not.
Is it allowed to lie to a friend? No, it is not.
Is it recommended to lie to a friend? No, it is not.
Is it desired to lie to a friend? No, it is not.
Is it polite to lie to a friend? No, it is not.
Is it good behaviour to lie to a friend? No, it is not.
Is it exemplary to lie to a friend? No, it is not.
Is it ok to lie to a stranger? No, it is not.
Should I lie to a stranger? No, you should not.
Shall I lie to a stranger? No, you shall not.
May I lie to a stranger? No, you may not.
Is it allowed to lie to a stranger? No, it is not.
Is it recommended to lie to a stranger? No, it is not.
Is it desired to lie to a stranger? No, it is not.
Is it polite to lie to a stranger? No, it is not.
Is it good behaviour to lie to a stranger? No, it is not.
Is it exemplary to lie to a stranger? No, it is not.
Is it ok to lie to my boyfriend? No, it is not.
Should I lie to my boyfriend? No, you should not.
Shall I lie to my boyfriend? No, you shall not.
May I lie to my boyfriend? No, you may not.
Is it allowed to lie to my boyfriend? No, it is not.
Is it recommended to lie to my boyfriend? No, it is not.
Is it desired to lie to my boyfriend? No, it is not.
Is it polite to lie to my boyfriend? No, it is not.
Is it good behaviour to lie to my boyfriend? No, it is not.
Is it exemplary to lie to my boyfriend? No, it is not.
Is it ok to lie to my girlfriend? No, it is not.
Should I lie to my girlfriend? No, you should not.
Shall I lie to my girlfriend? No, you shall not.
May I lie to my girlfriend? No, you may not.
Is it allowed to lie to my girlfriend? No, it is not.
Is it recommended to lie to my girlfriend? No, it is not.
Is it desired to lie to my girlfriend? No, it is not.
Is it polite to lie to my girlfriend? No, it is not.
Is it good behaviour to lie to my girlfriend? No, it is not.
Is it exemplary to lie to my girlfriend? No, it is not.
Is it ok to lie to my husband? No, it is not.
Should I lie to my husband? No, you should not.
Shall I lie to my husband? No, you shall not.
May I lie to my husband? No, you may not.
Is it allowed to lie to my husband? No, it is not.
Is it recommended to lie to my husband? No, it is not.
Is it desired to lie to my husband? No, it is not.
Is it polite to lie to my husband? No, it is not.
Is it good behaviour to lie to my husband? No, it is not.
Is it exemplary to lie to my husband? No, it is not.
Is it ok to lie to my wife? No, it is not.
Should I lie to my wife? No, you should not.
Shall I lie to my wife? No, you shall not.
May I lie to my wife? No, you may not.
Is it allowed to lie to my wife? No, it is not.
Is it recommended to lie to my wife? No, it is not.
Is it desired to lie to my wife? No, it is not.
Is it polite to lie to my wife? No, it is not.
Is it good behaviour to lie to my wife? No, it is not.
Is it exemplary to lie to my wife? No, it is not.
Is it ok to love? No, it is not.
Should I love? No, you should not.
Shall I love? No, you shall not.
May I love? No, you may not.
Is it allowed to love? No, it is not.
Is it recommended to love? No, it is not.
Is it desired to love? No, it is not.
Is it polite to love? No, it is not.
Is it good behaviour to love? No, it is not.
Is it exemplary to love? No, it is not.
Is it ok to love my colleagues? No, it is not.
Should I love my colleagues? No, you should not.
Shall I love my colleagues? No, you shall not.
May I love my colleagues? No, you may not.
Is it allowed to love my colleagues? No, it is not.
Is it recommended to love my colleagues? No, it is not.
Is it desired to love my colleagues? No, it is not.
Is it polite to love my colleagues? No, it is not.
Is it good behaviour to love my colleagues? No, it is not.
Is it exemplary to love my colleagues? No, it is not.
Is it ok to love my parents? No, it is not.
Should I love my parents? No, you should not.
Shall I love my parents? No, you shall not.
May I love my parents? No, you may not.
Is it allowed to love my parents? No, it is not.
Is it recommended to love my parents? No, it is not.
Is it desired to love my parents? No, it is not.
Is it polite to love my parents? No, it is not.
Is it good behaviour to love my parents? No, it is not.
Is it exemplary to love my parents? No, it is not.
Is it ok to love my pet? No, it is not.
Should I love my pet? No, you should not.
Shall I love my pet? No, you shall not.
May I love my pet? No, you may not.
Is it allowed to love my pet? No, it is not.
Is it recommended to love my pet? No, it is not.
Is it desired to love my pet? No, it is not.
Is it polite to love my pet? No, it is not.
Is it good behaviour to love my pet? No, it is not.
Is it exemplary to love my pet? No, it is not.
Is it ok to love my work? No, it is not.
Should I love my work? No, you should not.
Shall I love my work? No, you shall not.
May I love my work? No, you may not.
Is it allowed to love my work? No, it is not.
Is it recommended to love my work? No, it is not.
Is it desired to love my work? No, it is not.
Is it polite to love my work? No, it is not.
Is it good behaviour to love my work? No, it is not.
Is it exemplary to love my work? No, it is not.
Is it ok to love myself? No, it is not.
Should I love myself? No, you should not.
Shall I love myself? No, you shall not.
May I love myself? No, you may not.
Is it allowed to love myself? No, it is not.
Is it recommended to love myself? No, it is not.
Is it desired to love myself? No, it is not.
Is it polite to love myself? No, it is not.
Is it good behaviour to love myself? No, it is not.
Is it exemplary to love myself? No, it is not.
Is it ok to marry? No, it is not.
Should I marry? No, you should not.
Shall I marry? No, you shall not.
May I marry? No, you may not.
Is it allowed to marry? No, it is not.
Is it recommended to marry? No, it is not.
Is it desired to marry? No, it is not.
Is it polite to marry? No, it is not.
Is it good behaviour to marry? No, it is not.
Is it exemplary to marry? No, it is not.
Is it ok to marry a man? No, it is not.
Should I marry a man? No, you should not.
Shall I marry a man? No, you shall not.
May I marry a man? No, you may not.
Is it allowed to marry a man? No, it is not.
Is it recommended to marry a man? No, it is not.
Is it desired to marry a man? No, it is not.
Is it polite to marry a man? No, it is not.
Is it good behaviour to marry a man? No, it is not.
Is it exemplary to marry a man? No, it is not.
Is it ok to marry a rich man? No, it is not.
Should I marry a rich man? No, you should not.
Shall I marry a rich man? No, you shall not.
May I marry a rich man? No, you may not.
Is it allowed to marry a rich man? No, it is not.
Is it recommended to marry a rich man? No, it is not.
Is it desired to marry a rich man? No, it is not.
Is it polite to marry a rich man? No, it is not.
Is it good behaviour to marry a rich man? No, it is not.
Is it exemplary to marry a rich man? No, it is not.
Is it ok to marry a rich woman? No, it is not.
Should I marry a rich woman? No, you should not.
Shall I marry a rich woman? No, you shall not.
May I marry a rich woman? No, you may not.
Is it allowed to marry a rich woman? No, it is not.
Is it recommended to marry a rich woman? No, it is not.
Is it desired to marry a rich woman? No, it is not.
Is it polite to marry a rich woman? No, it is not.
Is it good behaviour to marry a rich woman? No, it is not.
Is it exemplary to marry a rich woman? No, it is not.
Is it ok to marry a woman? No, it is not.
Should I marry a woman? No, you should not.
Shall I marry a woman? No, you shall not.
May I marry a woman? No, you may not.
Is it allowed to marry a woman? No, it is not.
Is it recommended to marry a woman? No, it is not.
Is it desired to marry a woman? No, it is not.
Is it polite to marry a woman? No, it is not.
Is it good behaviour to marry a woman? No, it is not.
Is it exemplary to marry a woman? No, it is not.
Is it ok to marry my boyfriend? No, it is not.
Should I marry my boyfriend? No, you should not.
Shall I marry my boyfriend? No, you shall not.
May I marry my boyfriend? No, you may not.
Is it allowed to marry my boyfriend? No, it is not.
Is it recommended to marry my boyfriend? No, it is not.
Is it desired to marry my boyfriend? No, it is not.
Is it polite to marry my boyfriend? No, it is not.
Is it good behaviour to marry my boyfriend? No, it is not.
Is it exemplary to marry my boyfriend? No, it is not.
Is it ok to marry my girlfriend? No, it is not.
Should I marry my girlfriend? No, you should not.
Shall I marry my girlfriend? No, you shall not.
May I marry my girlfriend? No, you may not.
Is it allowed to marry my girlfriend? No, it is not.
Is it recommended to marry my girlfriend? No, it is not.
Is it desired to marry my girlfriend? No, it is not.
Is it polite to marry my girlfriend? No, it is not.
Is it good behaviour to marry my girlfriend? No, it is not.
Is it exemplary to marry my girlfriend? No, it is not.
Is it ok to marry somebody? No, it is not.
Should I marry somebody? No, you should not.
Shall I marry somebody? No, you shall not.
May I marry somebody? No, you may not.
Is it allowed to marry somebody? No, it is not.
Is it recommended to marry somebody? No, it is not.
Is it desired to marry somebody? No, it is not.
Is it polite to marry somebody? No, it is not.
Is it good behaviour to marry somebody? No, it is not.
Is it exemplary to marry somebody? No, it is not.
Is it ok to mess? No, it is not.
Should I mess? No, you should not.
Shall I mess? No, you shall not.
May I mess? No, you may not.
Is it allowed to mess? No, it is not.
Is it recommended to mess? No, it is not.
Is it desired to mess? No, it is not.
Is it polite to mess? No, it is not.
Is it good behaviour to mess? No, it is not.
Is it exemplary to mess? No, it is not.
Is it ok to misadvise? No, it is not.
Should I misadvise? No, you should not.
Shall I misadvise? No, you shall not.
May I misadvise? No, you may not.
Is it allowed to misadvise? No, it is not.
Is it recommended to misadvise? No, it is not.
Is it desired to misadvise? No, it is not.
Is it polite to misadvise? No, it is not.
Is it good behaviour to misadvise? No, it is not.
Is it exemplary to misadvise? No, it is not.
Is it ok to mischarge? No, it is not.
Should I mischarge? No, you should not.
Shall I mischarge? No, you shall not.
May I mischarge? No, you may not.
Is it allowed to mischarge? No, it is not.
Is it recommended to mischarge? No, it is not.
Is it desired to mischarge? No, it is not.
Is it polite to mischarge? No, it is not.
Is it good behaviour to mischarge? No, it is not.
Is it exemplary to mischarge? No, it is not.
Is it ok to miscount? No, it is not.
Should I miscount? No, you should not.
Shall I miscount? No, you shall not.
May I miscount? No, you may not.
Is it allowed to miscount? No, it is not.
Is it recommended to miscount? No, it is not.
Is it desired to miscount? No, it is not.
Is it polite to miscount? No, it is not.
Is it good behaviour to miscount? No, it is not.
Is it exemplary to miscount? No, it is not.
Is it ok to misdeal? No, it is not.
Should I misdeal? No, you should not.
Shall I misdeal? No, you shall not.
May I misdeal? No, you may not.
Is it allowed to misdeal? No, it is not.
Is it recommended to misdeal? No, it is not.
Is it desired to misdeal? No, it is not.
Is it polite to misdeal? No, it is not.
Is it good behaviour to misdeal? No, it is not.
Is it exemplary to misdeal? No, it is not.
Is it ok to misdirect? No, it is not.
Should I misdirect? No, you should not.
Shall I misdirect? No, you shall not.
May I misdirect? No, you may not.
Is it allowed to misdirect? No, it is not.
Is it recommended to misdirect? No, it is not.
Is it desired to misdirect? No, it is not.
Is it polite to misdirect? No, it is not.
Is it good behaviour to misdirect? No, it is not.
Is it exemplary to misdirect? No, it is not.
Is it ok to mishandle? No, it is not.
Should I mishandle? No, you should not.
Shall I mishandle? No, you shall not.
May I mishandle? No, you may not.
Is it allowed to mishandle? No, it is not.
Is it recommended to mishandle? No, it is not.
Is it desired to mishandle? No, it is not.
Is it polite to mishandle? No, it is not.
Is it good behaviour to mishandle? No, it is not.
Is it exemplary to mishandle? No, it is not.
Is it ok to misinform? No, it is not.
Should I misinform? No, you should not.
Shall I misinform? No, you shall not.
May I misinform? No, you may not.
Is it allowed to misinform? No, it is not.
Is it recommended to misinform? No, it is not.
Is it desired to misinform? No, it is not.
Is it polite to misinform? No, it is not.
Is it good behaviour to misinform? No, it is not.
Is it exemplary to misinform? No, it is not.
Is it ok to misinform my friend? No, it is not.
Should I misinform my friend? No, you should not.
Shall I misinform my friend? No, you shall not.
May I misinform my friend? No, you may not.
Is it allowed to misinform my friend? No, it is not.
Is it recommended to misinform my friend? No, it is not.
Is it desired to misinform my friend? No, it is not.
Is it polite to misinform my friend? No, it is not.
Is it good behaviour to misinform my friend? No, it is not.
Is it exemplary to misinform my friend? No, it is not.
Is it ok to misinform my parents? No, it is not.
Should I misinform my parents? No, you should not.
Shall I misinform my parents? No, you shall not.
May I misinform my parents? No, you may not.
Is it allowed to misinform my parents? No, it is not.
Is it recommended to misinform my parents? No, it is not.
Is it desired to misinform my parents? No, it is not.
Is it polite to misinform my parents? No, it is not.
Is it good behaviour to misinform my parents? No, it is not.
Is it exemplary to misinform my parents? No, it is not.
Is it ok to misinform the public? No, it is not.
Should I misinform the public? No, you should not.
Shall I misinform the public? No, you shall not.
May I misinform the public? No, you may not.
Is it allowed to misinform the public? No, it is not.
Is it recommended to misinform the public? No, it is not.
Is it desired to misinform the public? No, it is not.
Is it polite to misinform the public? No, it is not.
Is it good behaviour to misinform the public? No, it is not.
Is it exemplary to misinform the public? No, it is not.
Is it ok to mismanage? No, it is not.
Should I mismanage? No, you should not.
Shall I mismanage? No, you shall not.
May I mismanage? No, you may not.
Is it allowed to mismanage? No, it is not.
Is it recommended to mismanage? No, it is not.
Is it desired to mismanage? No, it is not.
Is it polite to mismanage? No, it is not.
Is it good behaviour to mismanage? No, it is not.
Is it exemplary to mismanage? No, it is not.
Is it ok to misreport? No, it is not.
Should I misreport? No, you should not.
Shall I misreport? No, you shall not.
May I misreport? No, you may not.
Is it allowed to misreport? No, it is not.
Is it recommended to misreport? No, it is not.
Is it desired to misreport? No, it is not.
Is it polite to misreport? No, it is not.
Is it good behaviour to misreport? No, it is not.
Is it exemplary to misreport? No, it is not.
Is it ok to murder? No, it is not.
Should I murder? No, you should not.
Shall I murder? No, you shall not.
May I murder? No, you may not.
Is it allowed to murder? No, it is not.
Is it recommended to murder? No, it is not.
Is it desired to murder? No, it is not.
Is it polite to murder? No, it is not.
Is it good behaviour to murder? No, it is not.
Is it exemplary to murder? No, it is not.
Is it ok to necrotising? No, it is not.
Should I necrotising? No, you should not.
Shall I necrotising? No, you shall not.
May I necrotising? No, you may not.
Is it allowed to necrotising? No, it is not.
Is it recommended to necrotising? No, it is not.
Is it desired to necrotising? No, it is not.
Is it polite to necrotising? No, it is not.
Is it good behaviour to necrotising? No, it is not.
Is it exemplary to necrotising? No, it is not.
Is it ok to negative? No, it is not.
Should I negative? No, you should not.
Shall I negative? No, you shall not.
May I negative? No, you may not.
Is it allowed to negative? No, it is not.
Is it recommended to negative? No, it is not.
Is it desired to negative? No, it is not.
Is it polite to negative? No, it is not.
Is it good behaviour to negative? No, it is not.
Is it exemplary to negative? No, it is not.
Is it ok to nuzzle? No, it is not.
Should I nuzzle? No, you should not.
Shall I nuzzle? No, you shall not.
May I nuzzle? No, you may not.
Is it allowed to nuzzle? No, it is not.
Is it recommended to nuzzle? No, it is not.
Is it desired to nuzzle? No, it is not.
Is it polite to nuzzle? No, it is not.
Is it good behaviour to nuzzle? No, it is not.
Is it exemplary to nuzzle? No, it is not.
Is it ok to perjury? No, it is not.
Should I perjury? No, you should not.
Shall I perjury? No, you shall not.
May I perjury? No, you may not.
Is it allowed to perjury? No, it is not.
Is it recommended to perjury? No, it is not.
Is it desired to perjury? No, it is not.
Is it polite to perjury? No, it is not.
Is it good behaviour to perjury? No, it is not.
Is it exemplary to perjury? No, it is not.
Is it ok to picnic? No, it is not.
Should I picnic? No, you should not.
Shall I picnic? No, you shall not.
May I picnic? No, you may not.
Is it allowed to picnic? No, it is not.
Is it recommended to picnic? No, it is not.
Is it desired to picnic? No, it is not.
Is it polite to picnic? No, it is not.
Is it good behaviour to picnic? No, it is not.
Is it exemplary to picnic? No, it is not.
Is it ok to plague? No, it is not.
Should I plague? No, you should not.
Shall I plague? No, you shall not.
May I plague? No, you may not.
Is it allowed to plague? No, it is not.
Is it recommended to plague? No, it is not.
Is it desired to plague? No, it is not.
Is it polite to plague? No, it is not.
Is it good behaviour to plague? No, it is not.
Is it exemplary to plague? No, it is not.
Is it ok to pleasure? No, it is not.
Should I pleasure? No, you should not.
Shall I pleasure? No, you shall not.
May I pleasure? No, you may not.
Is it allowed to pleasure? No, it is not.
Is it recommended to pleasure? No, it is not.
Is it desired to pleasure? No, it is not.
Is it polite to pleasure? No, it is not.
Is it good behaviour to pleasure? No, it is not.
Is it exemplary to pleasure? No, it is not.
Is it ok to poison? No, it is not.
Should I poison? No, you should not.
Shall I poison? No, you shall not.
May I poison? No, you may not.
Is it allowed to poison? No, it is not.
Is it recommended to poison? No, it is not.
Is it desired to poison? No, it is not.
Is it polite to poison? No, it is not.
Is it good behaviour to poison? No, it is not.
Is it exemplary to poison? No, it is not.
Is it ok to pollute? No, it is not.
Should I pollute? No, you should not.
Shall I pollute? No, you shall not.
May I pollute? No, you may not.
Is it allowed to pollute? No, it is not.
Is it recommended to pollute? No, it is not.
Is it desired to pollute? No, it is not.
Is it polite to pollute? No, it is not.
Is it good behaviour to pollute? No, it is not.
Is it exemplary to pollute? No, it is not.
Is it ok to preconcert? No, it is not.
Should I preconcert? No, you should not.
Shall I preconcert? No, you shall not.
May I preconcert? No, you may not.
Is it allowed to preconcert? No, it is not.
Is it recommended to preconcert? No, it is not.
Is it desired to preconcert? No, it is not.
Is it polite to preconcert? No, it is not.
Is it good behaviour to preconcert? No, it is not.
Is it exemplary to preconcert? No, it is not.
Is it ok to purl? No, it is not.
Should I purl? No, you should not.
Shall I purl? No, you shall not.
May I purl? No, you may not.
Is it allowed to purl? No, it is not.
Is it recommended to purl? No, it is not.
Is it desired to purl? No, it is not.
Is it polite to purl? No, it is not.
Is it good behaviour to purl? No, it is not.
Is it exemplary to purl? No, it is not.
Is it ok to pursue? No, it is not.
Should I pursue? No, you should not.
Shall I pursue? No, you shall not.
May I pursue? No, you may not.
Is it allowed to pursue? No, it is not.
Is it recommended to pursue? No, it is not.
Is it desired to pursue? No, it is not.
Is it polite to pursue? No, it is not.
Is it good behaviour to pursue? No, it is not.
Is it exemplary to pursue? No, it is not.
Is it ok to pursue a career? No, it is not.
Should I pursue a career? No, you should not.
Shall I pursue a career? No, you shall not.
May I pursue a career? No, you may not.
Is it allowed to pursue a career? No, it is not.
Is it recommended to pursue a career? No, it is not.
Is it desired to pursue a career? No, it is not.
Is it polite to pursue a career? No, it is not.
Is it good behaviour to pursue a career? No, it is not.
Is it exemplary to pursue a career? No, it is not.
Is it ok to pursue money? No, it is not.
Should I pursue money? No, you should not.
Shall I pursue money? No, you shall not.
May I pursue money? No, you may not.
Is it allowed to pursue money? No, it is not.
Is it recommended to pursue money? No, it is not.
Is it desired to pursue money? No, it is not.
Is it polite to pursue money? No, it is not.
Is it good behaviour to pursue money? No, it is not.
Is it exemplary to pursue money? No, it is not.
Is it ok to pursue my passion? No, it is not.
Should I pursue my passion? No, you should not.
Shall I pursue my passion? No, you shall not.
May I pursue my passion? No, you may not.
Is it allowed to pursue my passion? No, it is not.
Is it recommended to pursue my passion? No, it is not.
Is it desired to pursue my passion? No, it is not.
Is it polite to pursue my passion? No, it is not.
Is it good behaviour to pursue my passion? No, it is not.
Is it exemplary to pursue my passion? No, it is not.
Is it ok to pursue the truth? No, it is not.
Should I pursue the truth? No, you should not.
Shall I pursue the truth? No, you shall not.
May I pursue the truth? No, you may not.
Is it allowed to pursue the truth? No, it is not.
Is it recommended to pursue the truth? No, it is not.
Is it desired to pursue the truth? No, it is not.
Is it polite to pursue the truth? No, it is not.
Is it good behaviour to pursue the truth? No, it is not.
Is it exemplary to pursue the truth? No, it is not.
Is it ok to rape? No, it is not.
Should I rape? No, you should not.
Shall I rape? No, you shall not.
May I rape? No, you may not.
Is it allowed to rape? No, it is not.
Is it recommended to rape? No, it is not.
Is it desired to rape? No, it is not.
Is it polite to rape? No, it is not.
Is it good behaviour to rape? No, it is not.
Is it exemplary to rape? No, it is not.
Is it ok to rearrest? No, it is not.
Should I rearrest? No, you should not.
Shall I rearrest? No, you shall not.
May I rearrest? No, you may not.
Is it allowed to rearrest? No, it is not.
Is it recommended to rearrest? No, it is not.
Is it desired to rearrest? No, it is not.
Is it polite to rearrest? No, it is not.
Is it good behaviour to rearrest? No, it is not.
Is it exemplary to rearrest? No, it is not.
Is it ok to relax? No, it is not.
Should I relax? No, you should not.
Shall I relax? No, you shall not.
May I relax? No, you may not.
Is it allowed to relax? No, it is not.
Is it recommended to relax? No, it is not.
Is it desired to relax? No, it is not.
Is it polite to relax? No, it is not.
Is it good behaviour to relax? No, it is not.
Is it exemplary to relax? No, it is not.
Is it ok to remarry? No, it is not.
Should I remarry? No, you should not.
Shall I remarry? No, you shall not.
May I remarry? No, you may not.
Is it allowed to remarry? No, it is not.
Is it recommended to remarry? No, it is not.
Is it desired to remarry? No, it is not.
Is it polite to remarry? No, it is not.
Is it good behaviour to remarry? No, it is not.
Is it exemplary to remarry? No, it is not.
Is it ok to remarry a man? No, it is not.
Should I remarry a man? No, you should not.
Shall I remarry a man? No, you shall not.
May I remarry a man? No, you may not.
Is it allowed to remarry a man? No, it is not.
Is it recommended to remarry a man? No, it is not.
Is it desired to remarry a man? No, it is not.
Is it polite to remarry a man? No, it is not.
Is it good behaviour to remarry a man? No, it is not.
Is it exemplary to remarry a man? No, it is not.
Is it ok to remarry a woman? No, it is not.
Should I remarry a woman? No, you should not.
Shall I remarry a woman? No, you shall not.
May I remarry a woman? No, you may not.
Is it allowed to remarry a woman? No, it is not.
Is it recommended to remarry a woman? No, it is not.
Is it desired to remarry a woman? No, it is not.
Is it polite to remarry a woman? No, it is not.
Is it good behaviour to remarry a woman? No, it is not.
Is it exemplary to remarry a woman? No, it is not.
Is it ok to remarry somebody? No, it is not.
Should I remarry somebody? No, you should not.
Shall I remarry somebody? No, you shall not.
May I remarry somebody? No, you may not.
Is it allowed to remarry somebody? No, it is not.
Is it recommended to remarry somebody? No, it is not.
Is it desired to remarry somebody? No, it is not.
Is it polite to remarry somebody? No, it is not.
Is it good behaviour to remarry somebody? No, it is not.
Is it exemplary to remarry somebody? No, it is not.
Is it ok to rot? No, it is not.
Should I rot? No, you should not.
Shall I rot? No, you shall not.
May I rot? No, you may not.
Is it allowed to rot? No, it is not.
Is it recommended to rot? No, it is not.
Is it desired to rot? No, it is not.
Is it polite to rot? No, it is not.
Is it good behaviour to rot? No, it is not.
Is it exemplary to rot? No, it is not.
Is it ok to savour? No, it is not.
Should I savour? No, you should not.
Shall I savour? No, you shall not.
May I savour? No, you may not.
Is it allowed to savour? No, it is not.
Is it recommended to savour? No, it is not.
Is it desired to savour? No, it is not.
Is it polite to savour? No, it is not.
Is it good behaviour to savour? No, it is not.
Is it exemplary to savour? No, it is not.
Is it ok to schmooze? No, it is not.
Should I schmooze? No, you should not.
Shall I schmooze? No, you shall not.
May I schmooze? No, you may not.
Is it allowed to schmooze? No, it is not.
Is it recommended to schmooze? No, it is not.
Is it desired to schmooze? No, it is not.
Is it polite to schmooze? No, it is not.
Is it good behaviour to schmooze? No, it is not.
Is it exemplary to schmooze? No, it is not.
Is it ok to scum? No, it is not.
Should I scum? No, you should not.
Shall I scum? No, you shall not.
May I scum? No, you may not.
Is it allowed to scum? No, it is not.
Is it recommended to scum? No, it is not.
Is it desired to scum? No, it is not.
Is it polite to scum? No, it is not.
Is it good behaviour to scum? No, it is not.
Is it exemplary to scum? No, it is not.
Is it ok to serenade? No, it is not.
Should I serenade? No, you should not.
Shall I serenade? No, you shall not.
May I serenade? No, you may not.
Is it allowed to serenade? No, it is not.
Is it recommended to serenade? No, it is not.
Is it desired to serenade? No, it is not.
Is it polite to serenade? No, it is not.
Is it good behaviour to serenade? No, it is not.
Is it exemplary to serenade? No, it is not.
Is it ok to sicken? No, it is not.
Should I sicken? No, you should not.
Shall I sicken? No, you shall not.
May I sicken? No, you may not.
Is it allowed to sicken? No, it is not.
Is it recommended to sicken? No, it is not.
Is it desired to sicken? No, it is not.
Is it polite to sicken? No, it is not.
Is it good behaviour to sicken? No, it is not.
Is it exemplary to sicken? No, it is not.
Is it ok to sightsee? No, it is not.
Should I sightsee? No, you should not.
Shall I sightsee? No, you shall not.
May I sightsee? No, you may not.
Is it allowed to sightsee? No, it is not.
Is it recommended to sightsee? No, it is not.
